building cache: cache/train_16x224.u8 (28132 clips, 67.8 GB needed, 1262819.3 GB free)
cached 28132 clips
building cache: cache/val_16x224.u8 (4418 clips, 10.6 GB needed, 1262617.2 GB free)
cached 4418 clips
X3D-M | 1 blocks frozen | 16 frames at 224px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.2956  acc 0.1456  val loss 5.1298  val acc 0.3151
epoch 2/100  loss 5.0270  acc 0.4260  val loss 4.9520  val acc 0.4952
epoch 3/100  loss 4.8623  acc 0.5901  val loss 4.8372  val acc 0.6091
epoch 4/100  loss 4.7677  acc 0.6795  val loss 4.7881  val acc 0.6571
epoch 5/100  loss 4.7066  acc 0.7398  val loss 4.7537  val acc 0.6861
epoch 6/100  loss 4.6571  acc 0.7873  val loss 4.7343  val acc 0.7080
epoch 7/100  loss 4.6235  acc 0.8179  val loss 4.7124  val acc 0.7293
epoch 8/100  loss 4.5975  acc 0.8421  val loss 4.6940  val acc 0.7442
epoch 9/100  loss 4.5762  acc 0.8623  val loss 4.7000  val acc 0.7404
epoch 10/100  loss 4.5601  acc 0.8777  val loss 4.7015  val acc 0.7347
epoch 11/100  loss 4.5472  acc 0.8884  val loss 4.6748  val acc 0.7612
epoch 12/100  loss 4.5346  acc 0.9006  val loss 4.6772  val acc 0.7592
epoch 13/100  loss 4.5256  acc 0.9095  val loss 4.6578  val acc 0.7780
epoch 14/100  loss 4.5190  acc 0.9155  val loss 4.6509  val acc 0.7838
epoch 15/100  loss 4.5096  acc 0.9246  val loss 4.6326  val acc 0.8049
epoch 16/100  loss 4.4993  acc 0.9347  val loss 4.6302  val acc 0.8042
epoch 17/100  loss 4.4962  acc 0.9376  val loss 4.6360  val acc 0.7997
epoch 18/100  loss 4.4900  acc 0.9430  val loss 4.6327  val acc 0.8022
epoch 19/100  loss 4.4863  acc 0.9457  val loss 4.6182  val acc 0.8146
epoch 20/100  loss 4.4859  acc 0.9463  val loss 4.6270  val acc 0.8069
epoch 21/100  loss 4.4827  acc 0.9496  val loss 4.6308  val acc 0.8042
epoch 22/100  loss 4.4794  acc 0.9519  val loss 4.6236  val acc 0.8092
epoch 23/100  loss 4.4800  acc 0.9510  val loss 4.6120  val acc 0.8187
epoch 24/100  loss 4.4787  acc 0.9534  val loss 4.6314  val acc 0.8024
epoch 25/100  loss 4.4769  acc 0.9546  val loss 4.6144  val acc 0.8189
epoch 26/100  loss 4.4753  acc 0.9556  val loss 4.6254  val acc 0.8081
epoch 27/100  loss 4.4740  acc 0.9569  val loss 4.6145  val acc 0.8191
epoch 28/100  loss 4.4743  acc 0.9566  val loss 4.6244  val acc 0.8099
epoch 29/100  loss 4.4731  acc 0.9573  val loss 4.6202  val acc 0.8144
epoch 30/100  loss 4.4715  acc 0.9592  val loss 4.6166  val acc 0.8146
epoch 31/100  loss 4.4713  acc 0.9590  val loss 4.6264  val acc 0.8067
epoch 32/100  loss 4.4718  acc 0.9585  val loss 4.6240  val acc 0.8092
epoch 33/100  loss 4.4697  acc 0.9599  val loss 4.6070  val acc 0.8257
epoch 34/100  loss 4.4683  acc 0.9621  val loss 4.6299  val acc 0.8031
epoch 35/100  loss 4.4705  acc 0.9596  val loss 4.6186  val acc 0.8135
epoch 36/100  loss 4.4672  acc 0.9626  val loss 4.6139  val acc 0.8171
epoch 37/100  loss 4.4685  acc 0.9616  val loss 4.6376  val acc 0.7940
epoch 38/100  loss 4.4699  acc 0.9602  val loss 4.6095  val acc 0.8223
epoch 39/100  loss 4.4668  acc 0.9626  val loss 4.6115  val acc 0.8203
epoch 40/100  loss 4.4670  acc 0.9627  val loss 4.6040  val acc 0.8268
epoch 41/100  loss 4.4657  acc 0.9640  val loss 4.6041  val acc 0.8268
epoch 42/100  loss 4.4624  acc 0.9673  val loss 4.6023  val acc 0.8284
epoch 43/100  loss 4.4604  acc 0.9693  val loss 4.5929  val acc 0.8382
epoch 44/100  loss 4.4623  acc 0.9675  val loss 4.5980  val acc 0.8332
epoch 45/100  loss 4.4586  acc 0.9710  val loss 4.6069  val acc 0.8232
epoch 46/100  loss 4.4546  acc 0.9751  val loss 4.5894  val acc 0.8427
epoch 47/100  loss 4.4559  acc 0.9739  val loss 4.5954  val acc 0.8379
epoch 48/100  loss 4.4524  acc 0.9771  val loss 4.5924  val acc 0.8388
epoch 49/100  loss 4.4524  acc 0.9773  val loss 4.5876  val acc 0.8436
epoch 50/100  loss 4.4523  acc 0.9771  val loss 4.6044  val acc 0.8264
epoch 51/100  loss 4.4522  acc 0.9774  val loss 4.5843  val acc 0.8463
epoch 52/100  loss 4.4506  acc 0.9788  val loss 4.6012  val acc 0.8307
epoch 53/100  loss 4.4497  acc 0.9797  val loss 4.5945  val acc 0.8377
epoch 54/100  loss 4.4506  acc 0.9785  val loss 4.6007  val acc 0.8309
epoch 55/100  loss 4.4503  acc 0.9790  val loss 4.5835  val acc 0.8486
epoch 56/100  loss 4.4488  acc 0.9806  val loss 4.5816  val acc 0.8486
epoch 57/100  loss 4.4500  acc 0.9796  val loss 4.5822  val acc 0.8493
epoch 58/100  loss 4.4493  acc 0.9800  val loss 4.5906  val acc 0.8402
epoch 59/100  loss 4.4486  acc 0.9804  val loss 4.5969  val acc 0.8334
epoch 60/100  loss 4.4485  acc 0.9807  val loss 4.5916  val acc 0.8382
epoch 61/100  loss 4.4492  acc 0.9801  val loss 4.5920  val acc 0.8393
epoch 62/100  loss 4.4481  acc 0.9813  val loss 4.5827  val acc 0.8486
epoch 63/100  loss 4.4484  acc 0.9807  val loss 4.5828  val acc 0.8468
epoch 64/100  loss 4.4477  acc 0.9816  val loss 4.6017  val acc 0.8271
epoch 65/100  loss 4.4472  acc 0.9818  val loss 4.5981  val acc 0.8323
epoch 66/100  loss 4.4487  acc 0.9806  val loss 4.5933  val acc 0.8377
epoch 67/100  loss 4.4468  acc 0.9822  val loss 4.5802  val acc 0.8497
epoch 68/100  loss 4.4481  acc 0.9809  val loss 4.5807  val acc 0.8488
epoch 69/100  loss 4.4480  acc 0.9807  val loss 4.5857  val acc 0.8459
epoch 70/100  loss 4.4467  acc 0.9826  val loss 4.5872  val acc 0.8422
epoch 71/100  loss 4.4466  acc 0.9823  val loss 4.5851  val acc 0.8443
epoch 72/100  loss 4.4476  acc 0.9813  val loss 4.5911  val acc 0.8382
epoch 73/100  loss 4.4460  acc 0.9829  val loss 4.5964  val acc 0.8330
