cache hit: cache/train_16x224.u8
cache hit: cache/val_16x224.u8
X3D-M | 4 blocks frozen | 16 frames at 224px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.3026  acc 0.1412  val loss 5.1246  val acc 0.3246
epoch 2/100  loss 5.0368  acc 0.4204  val loss 4.9890  val acc 0.4611
epoch 3/100  loss 4.8955  acc 0.5599  val loss 4.9059  val acc 0.5385
epoch 4/100  loss 4.8056  acc 0.6467  val loss 4.8619  val acc 0.5808
epoch 5/100  loss 4.7458  acc 0.7022  val loss 4.8263  val acc 0.6191
epoch 6/100  loss 4.7002  acc 0.7478  val loss 4.8025  val acc 0.6369
epoch 7/100  loss 4.6671  acc 0.7780  val loss 4.7831  val acc 0.6598
epoch 8/100  loss 4.6428  acc 0.7998  val loss 4.7832  val acc 0.6532
epoch 9/100  loss 4.6231  acc 0.8179  val loss 4.7675  val acc 0.6698
epoch 10/100  loss 4.6075  acc 0.8323  val loss 4.7654  val acc 0.6747
epoch 11/100  loss 4.5936  acc 0.8449  val loss 4.7547  val acc 0.6822
epoch 12/100  loss 4.5816  acc 0.8563  val loss 4.7618  val acc 0.6747
epoch 13/100  loss 4.5697  acc 0.8680  val loss 4.7399  val acc 0.6971
epoch 14/100  loss 4.5577  acc 0.8788  val loss 4.7430  val acc 0.6926
epoch 15/100  loss 4.5485  acc 0.8873  val loss 4.7432  val acc 0.6919
epoch 16/100  loss 4.5445  acc 0.8904  val loss 4.7254  val acc 0.7105
epoch 17/100  loss 4.5383  acc 0.8964  val loss 4.7272  val acc 0.7091
epoch 18/100  loss 4.5334  acc 0.9009  val loss 4.7153  val acc 0.7191
epoch 19/100  loss 4.5284  acc 0.9055  val loss 4.7242  val acc 0.7096
epoch 20/100  loss 4.5240  acc 0.9094  val loss 4.7267  val acc 0.7094
epoch 21/100  loss 4.5174  acc 0.9166  val loss 4.7107  val acc 0.7239
epoch 22/100  loss 4.5138  acc 0.9194  val loss 4.7047  val acc 0.7331
epoch 23/100  loss 4.5098  acc 0.9231  val loss 4.6985  val acc 0.7374
epoch 24/100  loss 4.5059  acc 0.9266  val loss 4.7113  val acc 0.7232
epoch 25/100  loss 4.5071  acc 0.9250  val loss 4.7022  val acc 0.7329
epoch 26/100  loss 4.5023  acc 0.9297  val loss 4.6978  val acc 0.7374
epoch 27/100  loss 4.4991  acc 0.9334  val loss 4.7166  val acc 0.7173
epoch 28/100  loss 4.4938  acc 0.9384  val loss 4.6967  val acc 0.7377
epoch 29/100  loss 4.4937  acc 0.9383  val loss 4.6902  val acc 0.7431
epoch 30/100  loss 4.4906  acc 0.9406  val loss 4.7160  val acc 0.7162
