building cache: cache/train_13x160.u8 (28132 clips, 28.1 GB needed, 1265312.3 GB free)
cached 28132 clips
cache hit: cache/val_13x160.u8
X3D-S | 2 blocks frozen | 13 frames at 160px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.3202  acc 0.1174  val loss 5.2000  val acc 0.2415
epoch 2/100  loss 5.1095  acc 0.3403  val loss 5.0295  val acc 0.4169
epoch 3/100  loss 4.9618  acc 0.4890  val loss 4.9303  val acc 0.5161
epoch 4/100  loss 4.8576  acc 0.5936  val loss 4.8648  val acc 0.5819
epoch 5/100  loss 4.7821  acc 0.6654  val loss 4.8236  val acc 0.6215
epoch 6/100  loss 4.7296  acc 0.7159  val loss 4.7947  val acc 0.6498
epoch 7/100  loss 4.6828  acc 0.7615  val loss 4.8056  val acc 0.6351
epoch 8/100  loss 4.6479  acc 0.7947  val loss 4.7573  val acc 0.6824
epoch 9/100  loss 4.6241  acc 0.8177  val loss 4.7462  val acc 0.6974
epoch 10/100  loss 4.6028  acc 0.8376  val loss 4.7359  val acc 0.7062
epoch 11/100  loss 4.5870  acc 0.8533  val loss 4.7205  val acc 0.7180
epoch 12/100  loss 4.5725  acc 0.8649  val loss 4.7308  val acc 0.7044
epoch 13/100  loss 4.5603  acc 0.8765  val loss 4.7115  val acc 0.7288
epoch 14/100  loss 4.5448  acc 0.8915  val loss 4.7065  val acc 0.7311
epoch 15/100  loss 4.5395  acc 0.8970  val loss 4.7082  val acc 0.7286
epoch 16/100  loss 4.5284  acc 0.9065  val loss 4.7019  val acc 0.7365
epoch 17/100  loss 4.5229  acc 0.9127  val loss 4.6915  val acc 0.7426
epoch 18/100  loss 4.5183  acc 0.9160  val loss 4.6930  val acc 0.7415
epoch 19/100  loss 4.5124  acc 0.9213  val loss 4.6857  val acc 0.7488
epoch 20/100  loss 4.5073  acc 0.9261  val loss 4.6898  val acc 0.7445
epoch 21/100  loss 4.5058  acc 0.9273  val loss 4.6852  val acc 0.7522
epoch 22/100  loss 4.4994  acc 0.9331  val loss 4.6792  val acc 0.7560
epoch 23/100  loss 4.4976  acc 0.9350  val loss 4.6941  val acc 0.7381
epoch 24/100  loss 4.4921  acc 0.9413  val loss 4.6791  val acc 0.7562
epoch 25/100  loss 4.4892  acc 0.9434  val loss 4.6896  val acc 0.7431
epoch 26/100  loss 4.4870  acc 0.9452  val loss 4.6840  val acc 0.7499
epoch 27/100  loss 4.4840  acc 0.9478  val loss 4.6717  val acc 0.7598
epoch 28/100  loss 4.4816  acc 0.9506  val loss 4.6766  val acc 0.7567
epoch 29/100  loss 4.4798  acc 0.9518  val loss 4.6600  val acc 0.7725
epoch 30/100  loss 4.4779  acc 0.9529  val loss 4.6674  val acc 0.7646
epoch 31/100  loss 4.4771  acc 0.9543  val loss 4.6527  val acc 0.7829
epoch 32/100  loss 4.4728  acc 0.9582  val loss 4.6615  val acc 0.7700
epoch 33/100  loss 4.4710  acc 0.9603  val loss 4.6730  val acc 0.7592
epoch 34/100  loss 4.4714  acc 0.9592  val loss 4.6797  val acc 0.7522
epoch 35/100  loss 4.4698  acc 0.9610  val loss 4.6497  val acc 0.7804
epoch 36/100  loss 4.4667  acc 0.9636  val loss 4.6669  val acc 0.7657
epoch 37/100  loss 4.4679  acc 0.9630  val loss 4.6610  val acc 0.7734
