cache hit: cache/train_13x160.u8
building cache: cache/val_13x160.u8 (4418 clips, 4.4 GB needed, 1265229.2 GB free)
cached 4418 clips
X3D-S | 3 blocks frozen | 13 frames at 160px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.3128  acc 0.1271  val loss 5.1682  val acc 0.2746
epoch 2/100  loss 5.0856  acc 0.3660  val loss 5.0013  val acc 0.4488
epoch 3/100  loss 4.9384  acc 0.5147  val loss 4.9138  val acc 0.5362
epoch 4/100  loss 4.8352  acc 0.6167  val loss 4.8542  val acc 0.5928
epoch 5/100  loss 4.7658  acc 0.6824  val loss 4.8239  val acc 0.6186
epoch 6/100  loss 4.7227  acc 0.7232  val loss 4.7940  val acc 0.6480
epoch 7/100  loss 4.6834  acc 0.7620  val loss 4.7939  val acc 0.6440
epoch 8/100  loss 4.6535  acc 0.7900  val loss 4.7703  val acc 0.6689
epoch 9/100  loss 4.6276  acc 0.8126  val loss 4.7530  val acc 0.6840
epoch 10/100  loss 4.6061  acc 0.8336  val loss 4.7405  val acc 0.7003
epoch 11/100  loss 4.5883  acc 0.8515  val loss 4.7333  val acc 0.7051
epoch 12/100  loss 4.5743  acc 0.8635  val loss 4.7316  val acc 0.7001
epoch 13/100  loss 4.5640  acc 0.8732  val loss 4.7385  val acc 0.7003
epoch 14/100  loss 4.5549  acc 0.8813  val loss 4.7330  val acc 0.7039
epoch 15/100  loss 4.5436  acc 0.8927  val loss 4.7155  val acc 0.7200
epoch 16/100  loss 4.5357  acc 0.8986  val loss 4.7140  val acc 0.7259
epoch 17/100  loss 4.5286  acc 0.9067  val loss 4.7311  val acc 0.7028
epoch 18/100  loss 4.5190  acc 0.9166  val loss 4.7545  val acc 0.6815
epoch 19/100  loss 4.5112  acc 0.9234  val loss 4.7072  val acc 0.7259
epoch 20/100  loss 4.5048  acc 0.9290  val loss 4.7227  val acc 0.7103
epoch 21/100  loss 4.4991  acc 0.9347  val loss 4.7013  val acc 0.7336
epoch 22/100  loss 4.4967  acc 0.9369  val loss 4.7279  val acc 0.7064
epoch 23/100  loss 4.4915  acc 0.9415  val loss 4.7094  val acc 0.7243
epoch 24/100  loss 4.4874  acc 0.9460  val loss 4.6933  val acc 0.7411
epoch 25/100  loss 4.4850  acc 0.9483  val loss 4.7116  val acc 0.7234
epoch 26/100  loss 4.4790  acc 0.9540  val loss 4.6979  val acc 0.7359
epoch 27/100  loss 4.4775  acc 0.9547  val loss 4.7070  val acc 0.7266
epoch 28/100  loss 4.4762  acc 0.9565  val loss 4.7135  val acc 0.7175
epoch 29/100  loss 4.4719  acc 0.9599  val loss 4.6996  val acc 0.7345
epoch 30/100  loss 4.4686  acc 0.9630  val loss 4.6916  val acc 0.7413
epoch 31/100  loss 4.4686  acc 0.9628  val loss 4.7145  val acc 0.7189
epoch 32/100  loss 4.4697  acc 0.9619  val loss 4.7015  val acc 0.7322
epoch 33/100  loss 4.4668  acc 0.9647  val loss 4.7082  val acc 0.7291
epoch 34/100  loss 4.4639  acc 0.9668  val loss 4.6962  val acc 0.7370
epoch 35/100  loss 4.4634  acc 0.9678  val loss 4.7060  val acc 0.7266
epoch 36/100  loss 4.4614  acc 0.9695  val loss 4.7041  val acc 0.7316
epoch 37/100  loss 4.4615  acc 0.9694  val loss 4.6854  val acc 0.7476
epoch 38/100  loss 4.4594  acc 0.9713  val loss 4.7044  val acc 0.7304
epoch 39/100  loss 4.4589  acc 0.9715  val loss 4.7100  val acc 0.7225
epoch 40/100  loss 4.4584  acc 0.9726  val loss 4.7059  val acc 0.7259
epoch 41/100  loss 4.4567  acc 0.9736  val loss 4.6977  val acc 0.7377
epoch 42/100  loss 4.4579  acc 0.9726  val loss 4.6985  val acc 0.7336
epoch 43/100  loss 4.4568  acc 0.9728  val loss 4.6983  val acc 0.7329
epoch 44/100  loss 4.4559  acc 0.9745  val loss 4.6881  val acc 0.7442
epoch 45/100  loss 4.4572  acc 0.9727  val loss 4.7116  val acc 0.7227
epoch 46/100  loss 4.4538  acc 0.9761  val loss 4.7163  val acc 0.7159
epoch 47/100  loss 4.4560  acc 0.9739  val loss 4.7052  val acc 0.7275
epoch 48/100  loss 4.4534  acc 0.9766  val loss 4.6908  val acc 0.7431
epoch 49/100  loss 4.4541  acc 0.9757  val loss 4.6802  val acc 0.7510
epoch 50/100  loss 4.4536  acc 0.9762  val loss 4.6861  val acc 0.7460
epoch 51/100  loss 4.4522  acc 0.9773  val loss 4.6955  val acc 0.7349
epoch 52/100  loss 4.4529  acc 0.9768  val loss 4.6921  val acc 0.7415
epoch 53/100  loss 4.4516  acc 0.9781  val loss 4.7045  val acc 0.7273
epoch 54/100  loss 4.4521  acc 0.9780  val loss 4.7077  val acc 0.7234
epoch 55/100  loss 4.4514  acc 0.9783  val loss 4.7085  val acc 0.7223
epoch 56/100  loss 4.4507  acc 0.9791  val loss 4.6973  val acc 0.7345
epoch 57/100  loss 4.4496  acc 0.9804  val loss 4.6904  val acc 0.7420
epoch 58/100  loss 4.4493  acc 0.9806  val loss 4.6939  val acc 0.7377
epoch 59/100  loss 4.4519  acc 0.9773  val loss 4.6945  val acc 0.7374
epoch 60/100  loss 4.4508  acc 0.9792  val loss 4.7023  val acc 0.7313
epoch 61/100  loss 4.4497  acc 0.9795  val loss 4.7165  val acc 0.7166
epoch 62/100  loss 4.4491  acc 0.9804  val loss 4.7060  val acc 0.7268
epoch 63/100  loss 4.4504  acc 0.9792  val loss 4.7041  val acc 0.7273
epoch 64/100  loss 4.4498  acc 0.9798  val loss 4.7017  val acc 0.7300
epoch 65/100  loss 4.4481  acc 0.9813  val loss 4.7028  val acc 0.7309
epoch 66/100  loss 4.4502  acc 0.9793  val loss 4.6911  val acc 0.7392
epoch 67/100  loss 4.4501  acc 0.9791  val loss 4.7093  val acc 0.7218
epoch 68/100  loss 4.4490  acc 0.9803  val loss 4.6819  val acc 0.7492
epoch 69/100  loss 4.4473  acc 0.9822  val loss 4.6863  val acc 0.7481
epoch 70/100  loss 4.4472  acc 0.9819  val loss 4.6995  val acc 0.7313
epoch 71/100  loss 4.4476  acc 0.9814  val loss 4.7003  val acc 0.7295
epoch 72/100  loss 4.4477  acc 0.9818  val loss 4.6896  val acc 0.7406
epoch 73/100  loss 4.4477  acc 0.9813  val loss 4.6869  val acc 0.7472
epoch 74/100  loss 4.4472  acc 0.9820  val loss 4.7039  val acc 0.7279
epoch 75/100  loss 4.4481  acc 0.9815  val loss 4.6989  val acc 0.7302
epoch 76/100  loss 4.4456  acc 0.9839  val loss 4.6983  val acc 0.7311
epoch 77/100  loss 4.4461  acc 0.9833  val loss 4.7039  val acc 0.7259
epoch 78/100  loss 4.4457  acc 0.9836  val loss 4.6821  val acc 0.7497
epoch 79/100  loss 4.4464  acc 0.9828  val loss 4.6959  val acc 0.7349
epoch 80/100  loss 4.4464  acc 0.9828  val loss 4.7002  val acc 0.7306
epoch 81/100  loss 4.4466  acc 0.9828  val loss 4.6886  val acc 0.7447
epoch 82/100  loss 4.4453  acc 0.9837  val loss 4.7065  val acc 0.7239
epoch 83/100  loss 4.4461  acc 0.9828  val loss 4.6961  val acc 0.7349
epoch 84/100  loss 4.4468  acc 0.9823  val loss 4.7025  val acc 0.7279
epoch 85/100  loss 4.4453  acc 0.9836  val loss 4.6845  val acc 0.7454
epoch 86/100  loss 4.4463  acc 0.9829  val loss 4.6758  val acc 0.7580
epoch 87/100  loss 4.4444  acc 0.9845  val loss 4.6885  val acc 0.7431
epoch 88/100  loss 4.4453  acc 0.9835  val loss 4.6893  val acc 0.7417
epoch 89/100  loss 4.4469  acc 0.9822  val loss 4.6807  val acc 0.7499
epoch 90/100  loss 4.4457  acc 0.9834  val loss 4.6913  val acc 0.7402
