cache hit: cache/train_13x160.u8
cache hit: cache/val_13x160.u8
X3D-S | 4 blocks frozen | 13 frames at 160px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.3289  acc 0.1093  val loss 5.2270  val acc 0.2196
epoch 2/100  loss 5.1410  acc 0.3083  val loss 5.1014  val acc 0.3404
epoch 3/100  loss 5.0149  acc 0.4361  val loss 5.0266  val acc 0.4149
epoch 4/100  loss 4.9374  acc 0.5122  val loss 4.9776  val acc 0.4656
epoch 5/100  loss 4.8805  acc 0.5682  val loss 4.9379  val acc 0.5079
epoch 6/100  loss 4.8278  acc 0.6189  val loss 4.9027  val acc 0.5373
epoch 7/100  loss 4.7851  acc 0.6615  val loss 4.8953  val acc 0.5464
epoch 8/100  loss 4.7460  acc 0.6993  val loss 4.8673  val acc 0.5731
epoch 9/100  loss 4.7165  acc 0.7273  val loss 4.8536  val acc 0.5844
epoch 10/100  loss 4.6888  acc 0.7553  val loss 4.8301  val acc 0.6111
epoch 11/100  loss 4.6629  acc 0.7784  val loss 4.8340  val acc 0.6032
epoch 12/100  loss 4.6452  acc 0.7954  val loss 4.8178  val acc 0.6231
epoch 13/100  loss 4.6308  acc 0.8095  val loss 4.8096  val acc 0.6268
epoch 14/100  loss 4.6176  acc 0.8213  val loss 4.8196  val acc 0.6157
epoch 15/100  loss 4.6059  acc 0.8325  val loss 4.8021  val acc 0.6347
epoch 16/100  loss 4.5916  acc 0.8461  val loss 4.7838  val acc 0.6510
epoch 17/100  loss 4.5827  acc 0.8539  val loss 4.7815  val acc 0.6510
epoch 18/100  loss 4.5738  acc 0.8633  val loss 4.7836  val acc 0.6521
epoch 19/100  loss 4.5655  acc 0.8709  val loss 4.7954  val acc 0.6399
epoch 20/100  loss 4.5569  acc 0.8780  val loss 4.7848  val acc 0.6489
epoch 21/100  loss 4.5497  acc 0.8861  val loss 4.7816  val acc 0.6507
epoch 22/100  loss 4.5435  acc 0.8922  val loss 4.7849  val acc 0.6476
epoch 23/100  loss 4.5402  acc 0.8942  val loss 4.7643  val acc 0.6718
epoch 24/100  loss 4.5364  acc 0.8982  val loss 4.7864  val acc 0.6485
epoch 25/100  loss 4.5320  acc 0.9015  val loss 4.7754  val acc 0.6589
epoch 26/100  loss 4.5269  acc 0.9070  val loss 4.7837  val acc 0.6487
epoch 27/100  loss 4.5211  acc 0.9134  val loss 4.7760  val acc 0.6621
epoch 28/100  loss 4.5191  acc 0.9146  val loss 4.7729  val acc 0.6614
epoch 29/100  loss 4.5139  acc 0.9191  val loss 4.7740  val acc 0.6600
epoch 30/100  loss 4.5126  acc 0.9202  val loss 4.7811  val acc 0.6528
epoch 31/100  loss 4.5088  acc 0.9238  val loss 4.7658  val acc 0.6673
epoch 32/100  loss 4.5079  acc 0.9249  val loss 4.7905  val acc 0.6442
epoch 33/100  loss 4.5055  acc 0.9273  val loss 4.7747  val acc 0.6573
epoch 34/100  loss 4.5032  acc 0.9289  val loss 4.7699  val acc 0.6621
epoch 35/100  loss 4.4992  acc 0.9322  val loss 4.7712  val acc 0.6614
epoch 36/100  loss 4.4986  acc 0.9337  val loss 4.7759  val acc 0.6587
epoch 37/100  loss 4.4973  acc 0.9347  val loss 4.7568  val acc 0.6786
epoch 38/100  loss 4.4953  acc 0.9364  val loss 4.7788  val acc 0.6544
epoch 39/100  loss 4.4934  acc 0.9388  val loss 4.7850  val acc 0.6458
epoch 40/100  loss 4.4902  acc 0.9411  val loss 4.7621  val acc 0.6689
epoch 41/100  loss 4.4887  acc 0.9429  val loss 4.7782  val acc 0.6539
epoch 42/100  loss 4.4868  acc 0.9438  val loss 4.7486  val acc 0.6842
