cache hit: cache/train_4x160.u8
cache hit: cache/val_4x160.u8
X3D-XS | 0 blocks frozen | 4 frames at 160px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.3690  acc 0.0629  val loss 5.2840  val acc 0.1510
epoch 2/100  loss 5.2330  acc 0.2082  val loss 5.1903  val acc 0.2490
epoch 3/100  loss 5.1341  acc 0.3087  val loss 5.1294  val acc 0.3081
epoch 4/100  loss 5.0633  acc 0.3782  val loss 5.0795  val acc 0.3572
epoch 5/100  loss 5.0077  acc 0.4342  val loss 5.0353  val acc 0.3986
epoch 6/100  loss 4.9587  acc 0.4824  val loss 5.0117  val acc 0.4262
epoch 7/100  loss 4.9203  acc 0.5202  val loss 4.9675  val acc 0.4742
epoch 8/100  loss 4.8809  acc 0.5607  val loss 4.9594  val acc 0.4808
epoch 9/100  loss 4.8435  acc 0.5987  val loss 4.9340  val acc 0.5023
epoch 10/100  loss 4.8140  acc 0.6260  val loss 4.9107  val acc 0.5278
epoch 11/100  loss 4.7876  acc 0.6519  val loss 4.9257  val acc 0.5086
epoch 12/100  loss 4.7686  acc 0.6706  val loss 4.8963  val acc 0.5387
epoch 13/100  loss 4.7437  acc 0.6934  val loss 4.8963  val acc 0.5383
epoch 14/100  loss 4.7266  acc 0.7103  val loss 4.8974  val acc 0.5394
epoch 15/100  loss 4.7086  acc 0.7289  val loss 4.8792  val acc 0.5561
epoch 16/100  loss 4.6936  acc 0.7426  val loss 4.8859  val acc 0.5487
epoch 17/100  loss 4.6773  acc 0.7594  val loss 4.8797  val acc 0.5564
epoch 18/100  loss 4.6669  acc 0.7692  val loss 4.8682  val acc 0.5665
epoch 19/100  loss 4.6572  acc 0.7788  val loss 4.8708  val acc 0.5647
epoch 20/100  loss 4.6459  acc 0.7891  val loss 4.8656  val acc 0.5713
epoch 21/100  loss 4.6378  acc 0.7972  val loss 4.8583  val acc 0.5788
epoch 22/100  loss 4.6324  acc 0.8011  val loss 4.8608  val acc 0.5738
epoch 23/100  loss 4.6251  acc 0.8095  val loss 4.8666  val acc 0.5672
epoch 24/100  loss 4.6197  acc 0.8147  val loss 4.8749  val acc 0.5607
epoch 25/100  loss 4.6111  acc 0.8228  val loss 4.8657  val acc 0.5697
epoch 26/100  loss 4.6054  acc 0.8277  val loss 4.8441  val acc 0.5908
epoch 27/100  loss 4.6010  acc 0.8324  val loss 4.8565  val acc 0.5761
epoch 28/100  loss 4.5963  acc 0.8368  val loss 4.8583  val acc 0.5754
epoch 29/100  loss 4.5904  acc 0.8431  val loss 4.8494  val acc 0.5840
epoch 30/100  loss 4.5848  acc 0.8486  val loss 4.8597  val acc 0.5751
epoch 31/100  loss 4.5765  acc 0.8568  val loss 4.8293  val acc 0.6057
epoch 32/100  loss 4.5722  acc 0.8596  val loss 4.8474  val acc 0.5844
epoch 33/100  loss 4.5684  acc 0.8647  val loss 4.8389  val acc 0.5944
epoch 34/100  loss 4.5634  acc 0.8692  val loss 4.8496  val acc 0.5858
epoch 35/100  loss 4.5549  acc 0.8776  val loss 4.8692  val acc 0.5632
epoch 36/100  loss 4.5521  acc 0.8800  val loss 4.8435  val acc 0.5878
epoch 37/100  loss 4.5481  acc 0.8842  val loss 4.8560  val acc 0.5797
epoch 38/100  loss 4.5450  acc 0.8870  val loss 4.8386  val acc 0.5944
epoch 39/100  loss 4.5412  acc 0.8906  val loss 4.8606  val acc 0.5722
epoch 40/100  loss 4.5419  acc 0.8904  val loss 4.8561  val acc 0.5772
epoch 41/100  loss 4.5381  acc 0.8934  val loss 4.8593  val acc 0.5706
epoch 42/100  loss 4.5339  acc 0.8971  val loss 4.8266  val acc 0.6039
epoch 43/100  loss 4.5354  acc 0.8955  val loss 4.8712  val acc 0.5582
epoch 44/100  loss 4.5338  acc 0.8977  val loss 4.8369  val acc 0.5946
epoch 45/100  loss 4.5306  acc 0.9004  val loss 4.8561  val acc 0.5763
epoch 46/100  loss 4.5294  acc 0.9026  val loss 4.8316  val acc 0.6005
epoch 47/100  loss 4.5239  acc 0.9075  val loss 4.8514  val acc 0.5824
epoch 48/100  loss 4.5228  acc 0.9084  val loss 4.8147  val acc 0.6184
epoch 49/100  loss 4.5202  acc 0.9106  val loss 4.8235  val acc 0.6077
epoch 50/100  loss 4.5188  acc 0.9120  val loss 4.8264  val acc 0.6062
epoch 51/100  loss 4.5170  acc 0.9135  val loss 4.8390  val acc 0.5942
epoch 52/100  loss 4.5143  acc 0.9162  val loss 4.8372  val acc 0.5960
epoch 53/100  loss 4.5145  acc 0.9159  val loss 4.8296  val acc 0.6039
epoch 54/100  loss 4.5105  acc 0.9200  val loss 4.8335  val acc 0.5964
epoch 55/100  loss 4.5107  acc 0.9202  val loss 4.8555  val acc 0.5765
epoch 56/100  loss 4.5074  acc 0.9231  val loss 4.8458  val acc 0.5844
epoch 57/100  loss 4.5125  acc 0.9181  val loss 4.8390  val acc 0.5910
epoch 58/100  loss 4.5064  acc 0.9240  val loss 4.8257  val acc 0.6064
epoch 59/100  loss 4.5084  acc 0.9219  val loss 4.8530  val acc 0.5781
epoch 60/100  loss 4.5060  acc 0.9239  val loss 4.8425  val acc 0.5899
epoch 61/100  loss 4.5068  acc 0.9233  val loss 4.8299  val acc 0.5996
epoch 62/100  loss 4.5050  acc 0.9255  val loss 4.8539  val acc 0.5774
epoch 63/100  loss 4.5013  acc 0.9282  val loss 4.8243  val acc 0.6077
epoch 64/100  loss 4.4981  acc 0.9320  val loss 4.8155  val acc 0.6154
epoch 65/100  loss 4.4984  acc 0.9319  val loss 4.8328  val acc 0.5987
epoch 66/100  loss 4.4956  acc 0.9345  val loss 4.8223  val acc 0.6066
epoch 67/100  loss 4.4935  acc 0.9365  val loss 4.8337  val acc 0.5998
epoch 68/100  loss 4.4960  acc 0.9348  val loss 4.8334  val acc 0.5953
epoch 69/100  loss 4.4938  acc 0.9359  val loss 4.8250  val acc 0.6066
epoch 70/100  loss 4.4916  acc 0.9382  val loss 4.8097  val acc 0.6234
epoch 71/100  loss 4.4888  acc 0.9414  val loss 4.8166  val acc 0.6148
epoch 72/100  loss 4.4894  acc 0.9404  val loss 4.8411  val acc 0.5892
epoch 73/100  loss 4.4889  acc 0.9409  val loss 4.8152  val acc 0.6182
epoch 74/100  loss 4.4866  acc 0.9432  val loss 4.8212  val acc 0.6082
epoch 75/100  loss 4.4843  acc 0.9457  val loss 4.8363  val acc 0.5942
epoch 76/100  loss 4.4854  acc 0.9449  val loss 4.8035  val acc 0.6277
epoch 77/100  loss 4.4830  acc 0.9468  val loss 4.8256  val acc 0.6064
epoch 78/100  loss 4.4803  acc 0.9492  val loss 4.8260  val acc 0.6037
epoch 79/100  loss 4.4799  acc 0.9500  val loss 4.8270  val acc 0.6039
epoch 80/100  loss 4.4790  acc 0.9508  val loss 4.8181  val acc 0.6139
epoch 81/100  loss 4.4787  acc 0.9516  val loss 4.8259  val acc 0.6016
epoch 82/100  loss 4.4777  acc 0.9522  val loss 4.7944  val acc 0.6365
epoch 83/100  loss 4.4753  acc 0.9540  val loss 4.7913  val acc 0.6390
epoch 84/100  loss 4.4773  acc 0.9524  val loss 4.7970  val acc 0.6347
epoch 85/100  loss 4.4766  acc 0.9531  val loss 4.8236  val acc 0.6062
epoch 86/100  loss 4.4787  acc 0.9511  val loss 4.8168  val acc 0.6154
epoch 87/100  loss 4.4744  acc 0.9550  val loss 4.8234  val acc 0.6077
epoch 88/100  loss 4.4755  acc 0.9536  val loss 4.8209  val acc 0.6111
epoch 89/100  loss 4.4740  acc 0.9559  val loss 4.8281  val acc 0.6032
epoch 90/100  loss 4.4743  acc 0.9555  val loss 4.8604  val acc 0.5681
epoch 91/100  loss 4.4742  acc 0.9552  val loss 4.8294  val acc 0.6003
epoch 92/100  loss 4.4744  acc 0.9551  val loss 4.8287  val acc 0.6012
epoch 93/100  loss 4.4745  acc 0.9547  val loss 4.8388  val acc 0.5910
epoch 94/100  loss 4.4717  acc 0.9578  val loss 4.8234  val acc 0.6073
epoch 95/100  loss 4.4725  acc 0.9569  val loss 4.8319  val acc 0.6000
epoch 96/100  loss 4.4725  acc 0.9566  val loss 4.8296  val acc 0.6000
epoch 97/100  loss 4.4724  acc 0.9572  val loss 4.8194  val acc 0.6109
epoch 98/100  loss 4.4744  acc 0.9552  val loss 4.8146  val acc 0.6152
epoch 99/100  loss 4.4716  acc 0.9577  val loss 4.7980  val acc 0.6313
epoch 100/100  loss 4.4702  acc 0.9595  val loss 4.8347  val acc 0.5937
saved checkpoints/x3d_xs_freeze0.pt and figures/x3d_xs_freeze0.png
