model,frozen,samples,top1,top3,top5,params,trainable,gflops
XS,0,3741,0.5407645014701952,0.7236033146217589,0.7840149692595563,3437748,3437748,0.62578976
XS,1,3741,0.5690991713445602,0.7457898957497995,0.8078053996257685,3437748,3436932,0.62578976
XS,2,3741,0.5348837209302325,0.7308206361935311,0.797647687784015,3437748,3421562,0.62578976
XS,3,3741,0.49665864742047583,0.6931301790964982,0.7690457097032879,3437748,3348314,0.62578976
XS,4,3741,0.38893344025661586,0.5848703555199145,0.6661320502539428,3437748,2779058,0.62578976
XS,5,3741,0.1467522052927025,0.26009088479016307,0.31355252606255013,3437748,1431618,0.62578976
S,0,3741,0.7567495322106389,0.8973536487570168,0.9342421812349639,3437748,3437748,2.03042696
S,1,3741,0.7655707030205827,0.8976209569633787,0.9326383319967922,3437748,3436932,2.03042696
S,2,3741,0.7567495322106389,0.8960171077252072,0.9350441058540497,3437748,3421562,2.03042696
S,3,3741,0.698476343223737,0.8588612670408982,0.9035017375033414,3437748,3348314,2.03042696
S,4,3741,0.6345896819032344,0.8104784816893879,0.8692862870890137,3437748,2779058,2.03042696
S,5,3741,0.293504410585405,0.4389200748462978,0.5012028869286287,3437748,1431618,2.03042696
M,0,3741,0.8238438920074846,0.9350441058540497,0.9593691526329858,3437748,3437748,4.895886848
M,1,3741,0.8083400160384924,0.9270248596631917,0.9564287623630046,3437748,3436932,4.895886848
M,2,3741,0.8227746591820368,0.9449345094894414,0.9652499331729484,3437748,3421562,4.895886848
M,3,3741,0.7717187917669073,0.9056402031542369,0.9403902699812884,3437748,3348314,4.895886848
M,4,3741,0.7361668003207699,0.8920074846297781,0.9339748730286019,3437748,2779058,4.895886848
M,5,3741,0.34856990109596364,0.5097567495322106,0.5731087944399893,3437748,1431618,4.895886848
